2013-03-23 18:08:47 Notice: Notice (8): Undefined property: TagsController::$Player in [/Users/tbt/Sites/tag.local/app/controllers/tags_controller.php, line 43]
2013-03-23 22:09:06 Notice: Notice (8): Undefined property: TagsController::$Player in [/Users/tbt/Sites/tag.local/app/controllers/tags_controller.php, line 43]
2013-03-23 22:10:48 Notice: Notice (8): Undefined property: TagsController::$Player in [/Users/tbt/Sites/tag.local/app/controllers/tags_controller.php, line 43]
2013-03-23 22:14:22 Notice: Notice (8): Undefined index: before in [/Users/tbt/Sites/tag.local/cake/libs/view/helpers/form.php, line 862]
2013-03-23 22:14:22 Notice: Notice (8): Undefined index: between in [/Users/tbt/Sites/tag.local/cake/libs/view/helpers/form.php, line 862]
2013-03-23 22:14:22 Notice: Notice (8): Undefined index: after in [/Users/tbt/Sites/tag.local/cake/libs/view/helpers/form.php, line 862]
2013-03-23 22:14:22 Notice: Notice (8): Undefined index: format in [/Users/tbt/Sites/tag.local/cake/libs/view/helpers/form.php, line 865]
2013-03-23 22:14:51 Notice: Notice (8): Undefined index: before in [/Users/tbt/Sites/tag.local/cake/libs/view/helpers/form.php, line 862]
2013-03-23 22:14:51 Notice: Notice (8): Undefined index: between in [/Users/tbt/Sites/tag.local/cake/libs/view/helpers/form.php, line 862]
2013-03-23 22:14:51 Notice: Notice (8): Undefined index: after in [/Users/tbt/Sites/tag.local/cake/libs/view/helpers/form.php, line 862]
2013-03-23 22:14:51 Notice: Notice (8): Undefined index: format in [/Users/tbt/Sites/tag.local/cake/libs/view/helpers/form.php, line 865]
2013-03-23 22:16:51 Notice: Notice (8): Undefined index: before in [/Users/tbt/Sites/tag.local/cake/libs/view/helpers/form.php, line 862]
2013-03-23 22:16:51 Notice: Notice (8): Undefined index: between in [/Users/tbt/Sites/tag.local/cake/libs/view/helpers/form.php, line 862]
2013-03-23 22:16:51 Notice: Notice (8): Undefined index: after in [/Users/tbt/Sites/tag.local/cake/libs/view/helpers/form.php, line 862]
2013-03-23 22:16:51 Notice: Notice (8): Undefined index: format in [/Users/tbt/Sites/tag.local/cake/libs/view/helpers/form.php, line 865]
2013-03-26 21:31:10 Notice: Notice (8): Undefined property: PlayersController::$Session in [/Users/tbt/Sites/tag.local/app/controllers/players_controller.php, line 51]
2013-03-26 21:53:58 Notice: Notice (8): Undefined property: PagesController::$Tag in [/Users/tbt/Sites/tag.local/app/controllers/pages_controller.php, line 38]
2013-03-26 22:14:12 Notice: Notice (8): Undefined variable: it in [/Users/tbt/Sites/tag.local/app/views/pages/home.ctp, line 3]
2013-03-26 22:15:49 Notice: Notice (8): Undefined variable: it in [/Users/tbt/Sites/tag.local/app/views/pages/home.ctp, line 3]
2013-03-26 22:16:22 Notice: Notice (8): Undefined variable: it in [/Users/tbt/Sites/tag.local/app/views/pages/home.ctp, line 3]
2013-03-26 22:16:50 Notice: Notice (8): Undefined variable: it in [/Users/tbt/Sites/tag.local/app/views/pages/home.ctp, line 3]
2013-03-26 22:17:16 Notice: Notice (8): Undefined variable: it in [/Users/tbt/Sites/tag.local/app/views/pages/home.ctp, line 3]
2013-03-26 22:35:45 Notice: Notice (8): Undefined variable: tags_per_player in [/Users/tbt/Sites/tag.local/app/controllers/pages_controller.php, line 100]
2013-03-26 22:45:31 Notice: Notice (8): Undefined variable: num_tags in [/Users/tbt/Sites/tag.local/app/controllers/pages_controller.php, line 107]
2013-03-26 22:45:31 Notice: Notice (8): Undefined variable: tag_heights in [/Users/tbt/Sites/tag.local/app/views/pages/home.ctp, line 7]
2013-03-26 22:46:29 Notice: Notice (8): Undefined variable: num_tags in [/Users/tbt/Sites/tag.local/app/controllers/pages_controller.php, line 107]
2013-03-26 22:46:29 Notice: Notice (8): Undefined variable: tag_heights in [/Users/tbt/Sites/tag.local/app/views/pages/home.ctp, line 7]
2013-03-26 22:46:40 Notice: Notice (8): Undefined variable: tag_heights in [/Users/tbt/Sites/tag.local/app/views/pages/home.ctp, line 7]
2013-03-26 23:05:20 Notice: Notice (8): Undefined offset: 0 in [/Users/tbt/Sites/tag.local/app/models/tag.php, line 17]
2014-03-03 11:34:23 Notice: Notice (8): Undefined variable: tagged in [/homepages/17/d278810503/htdocs/tagyoureit/app/models/tag.php, line 55]
2014-03-03 11:34:44 Notice: Notice (8): Undefined variable: tagged in [/homepages/17/d278810503/htdocs/tagyoureit/app/models/tag.php, line 55]
2014-03-03 11:36:45 Notice: Notice (8): Undefined variable: tagged in [/homepages/17/d278810503/htdocs/tagyoureit/app/models/tag.php, line 55]
2014-03-03 11:39:31 Notice: Notice (8): Undefined variable: tagged in [/homepages/17/d278810503/htdocs/tagyoureit/app/models/tag.php, line 67]
2014-03-03 11:39:32 Notice: Notice (8): Undefined variable: tagged in [/homepages/17/d278810503/htdocs/tagyoureit/app/models/tag.php, line 67]
2014-03-03 11:39:32 Notice: Notice (8): Undefined variable: tagged in [/homepages/17/d278810503/htdocs/tagyoureit/app/models/tag.php, line 67]
2014-03-03 11:39:33 Notice: Notice (8): Undefined variable: tagged in [/homepages/17/d278810503/htdocs/tagyoureit/app/models/tag.php, line 67]
2014-03-03 11:39:33 Notice: Notice (8): Undefined variable: tagged in [/homepages/17/d278810503/htdocs/tagyoureit/app/models/tag.php, line 67]
2014-03-03 11:39:34 Notice: Notice (8): Undefined variable: tagged in [/homepages/17/d278810503/htdocs/tagyoureit/app/models/tag.php, line 67]
2014-03-03 11:39:35 Notice: Notice (8): Undefined variable: tagged in [/homepages/17/d278810503/htdocs/tagyoureit/app/models/tag.php, line 67]
2014-03-03 11:39:35 Notice: Notice (8): Undefined variable: tagged in [/homepages/17/d278810503/htdocs/tagyoureit/app/models/tag.php, line 67]
2014-03-03 11:39:36 Notice: Notice (8): Undefined variable: tagged in [/homepages/17/d278810503/htdocs/tagyoureit/app/models/tag.php, line 67]
2014-03-03 11:39:36 Notice: Notice (8): Undefined variable: tagged in [/homepages/17/d278810503/htdocs/tagyoureit/app/models/tag.php, line 67]
2014-03-03 11:39:37 Notice: Notice (8): Undefined variable: tagged in [/homepages/17/d278810503/htdocs/tagyoureit/app/models/tag.php, line 67]
2014-03-03 11:39:37 Notice: Notice (8): Undefined variable: tagged in [/homepages/17/d278810503/htdocs/tagyoureit/app/models/tag.php, line 67]
2014-03-03 11:39:38 Notice: Notice (8): Undefined variable: tagged in [/homepages/17/d278810503/htdocs/tagyoureit/app/models/tag.php, line 67]
2014-03-03 11:39:38 Notice: Notice (8): Undefined variable: tagged in [/homepages/17/d278810503/htdocs/tagyoureit/app/models/tag.php, line 67]
